iter	Passed	Remaining
663	1107	560
664	1109	558
665	1111	557
666	1113	555
667	1114	553
668	1115	552
669	1117	550
670	1118	548
671	1120	546
672	1121	544
673	1122	542
674	1123	541
675	1124	539
676	1125	537
677	1126	535
678	1127	533
679	1128	531
680	1130	529
681	1131	527
682	1132	525
683	1134	524
684	1136	522
685	1137	520
686	1139	519
687	1140	517
688	1141	515
689	1142	513
690	1143	511
691	1144	509
692	1145	507
693	1146	505
694	1149	504
695	1151	502
696	1152	500
697	1153	499
698	1154	497
699	1155	495
700	1157	493
701	1158	491
702	1159	489
703	1160	487
704	1161	486
705	1162	484
706	1165	483
707	1166	481
708	1167	479
709	1168	477
710	1169	475
711	1170	473
712	1172	471
713	1173	469
714	1174	468
715	1175	466
716	1176	464
717	1177	462
718	1180	461
719	1181	459
720	1182	457
721	1183	455
722	1184	453
723	1185	451
724	1186	450
725	1187	448
726	1188	446
727	1189	444
728	1191	442
729	1192	441
730	1195	439
731	1196	438
732	1197	436
733	1198	434
734	1199	432
735	1200	430
736	1201	428
737	1202	427
738	1203	425
739	1205	423
740	1206	421
741	1207	419
742	1209	418
743	1210	416
744	1211	414
745	1213	413
746	1214	411
747	1215	409
748	1216	407
749	1217	405
750	1218	404
751	1219	402
752	1221	400
753	1221	398
754	1223	397
755	1224	395
756	1226	393
757	1227	391
758	1228	390
759	1230	388
760	1231	386
761	1232	384
762	1233	383
763	1234	381
764	1235	379
765	1236	377
766	1238	376
767	1239	374
768	1240	372
769	1242	371
770	1243	369
771	1244	367
772	1246	365
773	1247	364
774	1248	362
775	1249	360
776	1250	358
777	1251	357
778	1252	355
779	1254	353
780	1255	352
781	1256	350
782	1257	348
783	1258	346
784	1259	345
785	1260	343
786	1261	341
787	1262	339
788	1263	338
789	1264	336
790	1266	334
791	1268	333
792	1269	331
793	1270	329
794	1271	327
795	1272	326
796	1273	324
797	1274	322
798	1275	320
799	1276	319
800	1277	317
801	1278	315
802	1279	314
803	1280	312
804	1282	310
805	1283	309
806	1284	307
807	1285	305
808	1287	303
809	1288	302
810	1289	300
811	1290	298
812	1291	297
813	1292	295
814	1293	293
815	1294	291
816	1295	290
817	1297	288
818	1298	286
819	1299	285
820	1301	283
821	1302	282
822	1303	280
823	1304	278
824	1305	276
825	1306	275
826	1307	273
827	1308	271
828	1309	270
829	1311	268
830	1313	267
831	1314	265
832	1315	263
833	1316	262
834	1317	260
835	1318	258
836	1319	256
837	1320	255
838	1321	253
839	1322	251
840	1323	250
841	1325	248
842	1327	247
843	1328	245
844	1329	243
845	1330	242
846	1332	240
847	1333	239
848	1334	237
849	1335	235
850	1336	234
851	1337	232
852	1338	230
853	1339	229
854	1342	227
855	1343	225
856	1344	224
857	1345	222
858	1346	221
859	1347	219
860	1348	217
861	1349	216
862	1350	214
863	1351	212
864	1352	211
865	1353	209
866	1354	207
867	1357	206
868	1358	204
869	1359	203
870	1360	201
871	1361	199
872	1362	198
873	1363	196
874	1364	194
875	1365	193
876	1366	191
877	1367	190
878	1368	188
879	1369	186
880	1372	185
881	1373	183
882	1374	182
883	1375	180
884	1376	178
885	1377	177
886	1378	175
887	1379	173
888	1380	172
889	1381	170
890	1382	169
891	1383	167
892	1385	165
893	1387	164
894	1388	162
895	1389	161
896	1390	159
897	1391	158
898	1392	156
899	1393	154
900	1394	153
901	1395	151
902	1396	150
903	1398	148
904	1399	146
905	1400	145
906	1402	143
907	1403	142
908	1404	140
909	1405	138
910	1406	137
911	1407	135
912	1408	134
913	1409	132
914	1410	131
915	1411	129
916	1412	127
917	1413	126
918	1416	124
919	1417	123
920	1418	121
921	1419	120
922	1420	118
923	1421	116
924	1422	115
925	1423	113
926	1424	112
927	1425	110
928	1427	109
929	1428	107
930	1429	105
931	1432	104
932	1433	102
933	1434	101
934	1435	99
935	1436	98
936	1438	96
937	1439	95
938	1440	93
939	1441	92
940	1442	90
941	1443	88
942	1444	87
943	1446	85
944	1447	84
945	1448	82
946	1449	81
947	1450	79
948	1452	78
949	1453	76
950	1455	74
951	1457	73
952	1458	71
953	1461	70
954	1462	68
955	1463	67
956	1464	65
957	1465	64
958	1466	62
959	1467	61
960	1468	59
961	1469	58
962	1470	56
963	1471	54
964	1473	53
965	1474	51
966	1476	50
967	1477	48
968	1478	47
969	1479	45
970	1480	44
971	1481	42
972	1482	41
973	1483	39
974	1484	38
975	1485	36
976	1486	35
977	1487	33
978	1489	31
979	1491	30
980	1492	28
981	1493	27
982	1494	25
983	1495	24
984	1496	22
985	1497	21
986	1498	19
987	1499	18
988	1500	16
989	1502	15
990	1503	13
991	1504	12
992	1506	10
993	1507	9
994	1509	7
995	1510	6
996	1511	4
997	1512	3
998	1513	1
999	1514	0
